I Really Want to Stay At Your House,Rosa Walton,英文；ACG；舰长,赛博朋克2077
Nameless Love Song,Guilty Kiss,日文；ACG,LoveLive
Phantom Rocket Adventure,Guilty Kiss,日文；ACG,LoveLive
Love?Pulsar,Guilty Kiss,日文；ACG,LoveLive
New Romantic Sailors,Guilty Kiss,日文；ACG,LoveLive
Deep Sea Cocoon,Guilty Kiss,日文；ACG；舰长,LoveLive
Shooting Star Warrior,Guilty Kiss,日文；ACG,LoveLive
鏡面の波,YURiKA,日文；ACG；舰长,宝石之国
私は最強,Ado,日文；ACG；舰长,海贼王RED
悪魔の子,ヒグチアイ,日文；ACG；舰长,进击的巨人
BANZAI! digital trippers,Aqours,日文；ACG,LoveLive
KA-GA-YA-KI-RA-RI-RA,Aqours,日文；ACG,LoveLive
Primary,Liella!,日文；ACG；舒缓,LoveLive
Dream on,宫野真守,日文；ACG；舒缓,阴晴不定大哥哥
Tot Musica,Ado,日文；ACG；SC,海贼王RED SC点歌
風のゆくえ,Ado,日文；ACG；舰长,风的去向 海贼王RED
逆光,Ado,日文；ACG；舰长,海贼王RED
新時代,Ado,日文；ACG,海贼王RED
小城夏天,LBI利比,中文；流行,
Aoi,サカナクション,日文；流行,鱼韵 Sakanaction
愛言葉IV,初音未来,日文；术力口,Deco27
CH4NGE,可不,日文；术力口；流行,Giga
迷冥探偵ヨハネ,小林爱香,日文；ACG；舰长,LoveLive
MOTTAI,P丸様?,日文；流行；舰长,
Jump up HIGH!!,Aqours,日文；ACG；舰长,LoveLive
星间飞行,中岛爱,日文；ACG,超时空要塞
stars we chase,内田秀,英文；ACG,LoveLive 米娅
Fantastic Departure!,Aqours,日文；ACG；舰长,LoveLive
Aqours Pirates Desire,Aqours,日文；ACG,LoveLive
DREAMY COLOR,Aqours,日文；ACG,LoveLive
Eutopia,法元明菜,日文；中文；ACG；SC,LoveLive 钟岚珠 SC点歌 
だんだん早くなる,初音未来,日文；术力口,逐渐加快 40mP
HOT PASSION!!,Sunny Passion,日文；ACG,LoveLive
勾指起誓,洛天依,中文；流行；术力口,
Wish Song,Liella!,日文；ACG；舒缓,LoveLive
ユニゾン,Liella!,日文；ACG,Unison LoveLive
ハンマーを電波ソングにしてみた,Kana,日文；卖萌；舰长,锤子电波之歌
めざせポケモンマスター,松本梨香,日文；ACG,目标是宝可梦大师 口袋妖怪
Paradise Chime,齐藤朱夏,日文；ACG；Rap,LoveLive
コットンキャンディえいえいおー！,降幡愛,日文；ACG；卖萌；舰长,AAO LoveLive
夏色えがおで1，2，Jump!,μ's,日文；ACG,LoveLive
Braveheart Coaster,CYaRon!,日文；ACG；舰长,LoveLive
コドク?テレポート,CYaRon!,日文；ACG；舒缓,孤独传送 LoveLive
Love Of My Life,Queen,英文；舒缓；舰长,
徒花ネクロマンシー,腐烂秀秀,日文；ACG；舰长,佐贺偶像是传奇
Eternal Light,DiverDiva,日文；ACG；Rap,LoveLive
PONPONPON, Kyary Pamyu Pamyu,日文；流行；卖萌,彭薇薇
冬の花,宫本浩次,日文；流行；SC,SC点歌
ハステとワステ,AKB48,日文；流行；秋元系,川荣李奈
五月雨よ,樱坂46,日文；流行；秋元系,
君に叱られた,乃木坂46,日文；流行；秋元系,被你训斥 
帰り道は遠回りしたくなる,乃木坂46,日文；流行；秋元系,想绕远路回家 西野七濑
チキチキバンバン,QUEENDOM,日文；ACG；Rap,7ki7ki棒棒 派对浪客诸葛孔明
ねぇねぇねぇ。,初音未来 镜音铃,日文；术力口,呐呐呐 匹诺曹P
僕の戦争,神圣放逐乐队,日文；ACG；SC,进击的巨人 SC点歌
人体解冻,姜涵John Senco,中文；流行,
Over Drive,JUDY AND MARY,日文；流行,池田瑛紗
Magical Word,P丸様?,日文；流行；卖萌,TeddyLoid
とっても大好きっ！,P丸様?,日文；流行；舰长,の子
ちきゅう大爆発,P丸様?,日文；流行；卖萌；Rap,地球大爆炸
インフルエンサー,乃木坂46,日文；流行；秋元系,大影响家 西野七濑
制服のマネキン,乃木坂46,日文；流行；秋元系,制服人偶 生驹里奈
Actually…,乃木坂46,日文；流行；秋元系,
Sing Out!,乃木坂46,日文；流行；秋元系,斋藤飞鸟
繚乱!ビクトリーロード,虹咲学园校园偶像同好会,日文；ACG；Rap；舰长,缭乱胜利大马路 LoveLive
波子汽水,雷雨心,中文；流行；舒缓,
SUPER NOVA,DiverDiva,日文；ACG；Rap,LoveLive
"GEMSTONE ""DE-A-I""",Aqours,日文；ACG,LoveLive
なんどだって約束！,Aqours,日文；ACG,LoveLive
シリウスの心臓,异世界情绪,日文；流行；V圈金曲；舰长,天狼星的心脏
リテラチュア,上田丽奈,日文；ACG,魔女之旅
ヒトガタ,HIMEHINA,日文；ACG；Rap；SC,人型 SC点歌
美しきもの,Sound Horizon,日文；V圈金曲；舰长,美丽之物
START!! True dreams,Liella!,日文；ACG,LoveLive
future gazer,fripSide,日文；ACG；舰长,某科学的超电磁炮
僕が死のうと思ったのは,中島美嘉,日文；流行；SC,曾经我也想一了百了 SC点歌
命は美しい,乃木坂46,日文；流行；秋元系；舒缓,西野七濑
One Last Kiss,宇多田光,日文；ACG；流行；舰长,EVA
同担☆拒否,HoneyWorks,日文；ACG；卖萌,
I'm Still…,内田秀,日文；英文；ACG,LoveLive 米娅
Queendom,法元明菜,日文；中文；ACG,LoveLive 钟岚珠
MONSTER GIRLS,R3BIRTH,日文；中文；ACG；Rap；舰长,LoveLive
ときめきブローカー,P丸様?,日文；流行；卖萌；舰长,心跳捐客
KU-RU-KU-RU Cruller!,Aqours,日文；ACG；Rap,LoveLive
勇気のカケラ,岬奈子,日文；ACG,勇气的碎片 LoveLive 岚千砂都
夜明珠,法元明菜,日文；ACG,LoveLive 钟岚珠
翠いカナリア,小泉萌香,日文；ACG；舰长,翠色金丝雀 LoveLive 三船栞子
ツバメ,YOASOBI,日文；流行,燕子
ミスター,YOASOBI,日文；流行,先生
もしも命が描けたら,YOASOBI,日文；流行；舰长,若能描绘生命
常夏☆サンシャイン,Liella!,日文；ACG,LoveLive
Tiny Stars,Liella!,日文；ACG；SC,LoveLive SC点歌
未来は風のように,Liella!,日文；ACG,LoveLive
Shooting Voice!!,Liella!,日文；ACG,LoveLive
LIVE with a smile!,Aqours 虹咲学园校园偶像同好会 Liella!,日文；ACG；舰长,LoveLive
だから僕らは鳴らすんだ!,Liella!,日文；ACG,我们之所以奏响的乐章 LoveLive
Day1,Liella!,日文；ACG；Rap,LoveLive
ノンフィクション!!,Liella!,日文；ACG；Rap,Nonfiction LoveLive
恋ノ行方,あかせあかり,日文；ACG； 卖萌,更衣人偶坠入爱河
INTERNET OVERDOSE,NEEDY GIRL OVERDOSE,日文；ACG； 卖萌；舰长,主播女孩重度依赖
神っぽいな,初音未来,日文；ACG；Rap；SC,像神一样呐 匹诺曹P SC点歌
Machi No Dorufin,滨田金吾,日文；流行；舒缓,
大正浪漫,YOASOBI,日文；流行,
老人と海,ヨルシカ ,日文；流行；舒缓,夜鹿
ダンスの理由,平手友梨奈,日文；流行；秋元系,跳舞的理由
シル?ヴ?プレジデント,P丸様?,日文；流行；卖萌；SC,如果我是大统领 SC点歌
夢がここからはじまるよ,虹咲学园校园偶像同好会,日文；ACG,梦想从这里开始哦 LoveLive
誰がその鐘を鳴らすのか？ ,欅坂46,日文；流行；秋元系,谁来敲响这座钟呢？
三原色,YOASOBI,日文；流行；Rap；舰长,
うまぴょい伝説,赛马娘,日文；ACG；Rap；SC,马儿跳传说 SC点歌
カミイロアワセ,binaria,日文；ACG,弹丸论破
Everything Sucks,vaultboy,英文；流行,
あいつら全員同窓会,ずっと真夜中でいいのに。,日文；流行； 舰长,那些家伙们的校友会 真夜中
多分、風。,サカナクション,日文；流行,鱼韵 Sakanaction
忘れられないの,サカナクション,日文；流行,鱼韵 Sakanaction
アルクアラウンド,サカナクション,日文；流行,萍踪浪迹 鱼韵 Sakanaction 
バッハの旋律を夜に聴いたせいです。,サカナクション,日文；流行,因为在夜晚聆听巴赫的旋律。 鱼韵 Sakanaction
アルティメットセンパイ,初音未来,日文；术力口,究极前辈 匹诺曹P
So What,SPiCYSOL,日文；流行,
ONLY ONE,SPiCYSOL,日文；流行,主夫公寓
炎,LiSA,日文；流行；ACG；舰长,鬼灭之刃
なでなで,莉犬,日文；ACG；卖萌,抚摸抚摸
もう少しだけ,YOASOBI,日文；流行；舰长,只要多一点
踊,Ado,日文；流行；ACG；Rap；SC,SC点歌
勘ぐれい,ずっと真夜中でいいのに。,日文；流行； 舰长,灰心感 真夜中
約束タワー,スタァライト九九組,日文；ACG,约定塔 少女歌剧
私のSymphony,Liella!,日文；ACG,LoveLive
Dreaming Energy,Liella!,日文；ACG,LoveLive
Dancing Heart La-Pa-Pa-Pa!,Liella!,日文；ACG,LoveLive
始まりは君の空,Liella!,日文；ACG；舰长,LoveLive
マイライフ,CY8ER,日文；流行；地偶,My Life
そして花になる,花谱,日文；流行； 舰长,然后成为花
POWER SPOT!!,DiverDiva,日文；ACG；舰长,LoveLive
VIVID WORLD,久保田未梦,日文；ACG；舰长,LoveLive 朝香果林
Answer,幾田りら,日文；流行,ikura
うっせぇわ,Ado,日文；流行；SC,吵死了 SC点歌
Dazzling White Town,Saint Snow,日文；ACG；舰长,LoveLive
巣立ちの歌,アネモネリア,日文；ACG；舒缓；舰长,奇蛋物语
Life is サイダー,アネモネリア,日文；ACG；舰长,奇蛋物语
セカイノハテ,齐藤朱夏,日文；ACG；舰长,世界的尽头 巴克·亚罗
give it back,C? shu Nie,日文；ACG；SC,咒术回战
round and round,Merm4id,日文；ACG；舰长,D4DJ
Gonna be right,Peaky P-key,日文；ACG；舰长,D4DJ
Let’s do the ‘Big-Bang!’,Peaky P-key,日文；ACG；舰长,D4DJ
Floor Killer,Merm4id,日文；ACG；舰长,D4DJ
優しい彗星,YOASOBI,日文；流行；舒缓,动物狂想曲
ING,Merm4id,日文；ACG；舰长,D4DJ
まっすぐに、トウメイに。,水濑祈,日文；流行； 舰长,麒麟柠檬广告曲
カレンデュラ,燐舞曲,日文；ACG；摇滚；舰长,金盏花 D4DJ
あの夢をなぞって,YOASOBI,日文；流行； 舰长,描绘着那场梦
銀河鉄道の夜に,Lyrical Lily,日文；ACG；舰长,D4DJ
吾輩よ猫であれ,Lyrical Lily,日文；ACG；卖萌；舰长,D4DJ
LOVE!HUG!GROOVY!!,D4DJ,日文；ACG；舰长,D4DJ SC多声线
prayer[s],燐舞曲,日文；ACG；舰长,D4DJ
Make some noise!,Merm4id,日文；ACG；舰长,D4DJ
電乱★カウントダウン,Peaky P-key,日文；ACG；舰长,电乱Countdown D4DJ
怪物,YOASOBI,日文；流行； 舰长,动物狂想曲
アンコール,YOASOBI,日文；流行； 舰长,安可
KING,GUMI,日文；术力口；SC,kanaria SC点歌
Misty Frosty Love,Aqours,日文；ACG,LoveLive
ハルカ,YOASOBI,日文；流行,遥 Haruka
紅蓮華,LiSA,日文；ACG；流行；SC,鬼灭之刃 SC点歌
REALITY MAGIC,大森靖子,日文；流行,
靴の花火,ヨルシカ ,日文；流行,夜鹿
and I'm home,喜多村英梨 野中蓝,日文；ACG,魔法少女小圆
超常マイマイン,奶油糖 000,日文；ACG；卖萌,MaiMai
Message in the Wind,Celeina Ann,英文；ACG,卡罗尔与星期二
ショコラと隕石,りぶ,日文；流行,
Plastic Love,竹内玛莉亚,日文；流行；舒缓,塑料爱
ルカルカ★ナイトフィーバー,実谷なな,日文；流行；ACG,lukaluka night fever
メグメグ☆ファイアーエンドレスナイト,実谷なな,日文；流行；ACG,megumegu fire endless night
Catherine,悶餅MOONBAND,英文；流行；舒缓,
呪いは水色,大森靖子,日文；流行；舒缓,水蓝色诅咒
君は薔薇より美しい,布施明,日文；流行；舰长,
4:00A.M.,荷尔蒙少年,中文；流行,
あなたのために,あいみょん,日文；流行；舰长,为了你 爱缪
私の好きなもの,lovely summer,日文；流行,我喜欢的东西 吃货曲
群青,YOASOBI,日文；流行；舰长,
夜に駆ける,YOASOBI,日文；流行；SC,向夜晚奔去 SC点歌
Oh my god,(G)I-DLE,日文；K-pop；流行,
ハルジオン,YOASOBI,日文；流行；舰长,春紫苑
秒針を噛む,ずっと真夜中でいいのに。,日文；流行；舰长,咬住秒针 真夜中
儚恋∥セパレート,煌めき☆アンフォレント,日文；流行；地偶,
全開＜アクセラレーション,煌めき☆アンフォレント,日文；流行；地偶,
Trigger,尾崎雄貴,日文；ACG,东京残响
夜走,打到三明治,中文；流行；舒缓,
たふ?ん,YOASOBI,日文；流行,大概
花に亡霊,ヨルシカ,日文；流行；ACG；舒缓,夜鹿 想哭的我戴上了猫的面具
便利店女孩,悶餅MOONBAND,中文；流行；舒缓；粤语,
Lover Song,SoulFa 灵魂沙发,英文；流行；舒缓,
第六感,Reol,日文；流行；舰长,
Magia,Kalafina,日文；ACG；舰长,魔法少女小圆
ゆーれいずみー,Reol,日文；流行；Rap；舰长,
おねだり大作戦,BABYMETAL,日文；摇滚；舰长,撒娇大作战
紅月-アカツキ-,BABYMETAL,日文；摇滚；舰长,
A DECLARATION OF ×××,RAISE A SUILEN,日文；摇滚；ACG；舰长,邦邦
UNSTOPPABLE,RAISE A SUILEN,日文；摇滚；ACG；舰长,邦邦
明日も明後日も,SpecialThanks,日文；流行,扔掉吧安达小姐
I LOVE…,Official髭男dism,日文；流行,将恋爱进行到底
1LDK,Reol,日文；流行；舰长,
Oh My! ,SEVENTEEN,日文；K-pop；流行,
WHISTLE,BLACKPINK,日文；K-pop；流行；Rap,
Night Cruising,SPiCYSOL,日文；流行,
It's Time,SPiCYSOL,日文；流行,
焦糖星,Warma,中文；流行；舒缓,
一般男性脱糞シリーズ,yyut,日文；舒缓；SC,SC点歌
舞い落ちる花びら,SEVENTEEN,日文；K-pop；流行,Fallin' Flower
Bye by me,Vaundy,日文；流行；舒缓,扔掉吧安达小姐
惡の華,宇宙人,日文；ACG；舰长,恶之花
Dear Mary,悶餅MOONBAND,英文；流行；舒缓,
勘冴えて悔しいわ,ずっと真夜中でいいのに。,日文；流行；舰长,直觉敏锐而不甘 真夜中
夜行,ヨルシカ,日文；流行；ACG；舒缓,
Samurai 45,MIYAVI,日文；英文；ACG；流行,异度侵入
お勉強しといてよ,ずっと真夜中でいいのに。,日文；流行；舰长,得好好学习哦
READY!!,765PRO ALLSTARS,日文；ACG,偶像大师 爱马仕
お願い! シンデレラ,THE IDOLM@STER,日文；ACG,偶像大师 灰姑娘女孩 爱马仕
金木犀の夜,きのこ帝国,日文；流行；舒缓,
DADDY! DADDY! DO!,鈴木愛理,日文；ACG,辉夜大小姐想让我告白 半首
乙女のルートはひとつじゃない！,angela,日文；ACG,转生成为了只有乙女游戏破灭flag的大小姐 半首
一番星,タイナカ彩智,日文；流行；舒缓；SC,SC点歌
肥肠爱你,舒大卫,中文；流行；舒缓；舰长,
僕らの環境,ナナニジ 22/7,日文；ACG；秋元系,
我是一只鱼,落日飞车,中文；流行；舒缓,
一起跳海,小缪,中文；流行；舒缓,
我的悲伤是水做的,洛天依,中文；术力口；舒缓,
太陽系?ワンダーラスト,煌めき☆アンフォレント,日文；流行；地偶,
Floating Heart,内田彩,日文；流行；卖萌,
ギミチョコ!!,BABYMETAL,日文；摇滚；舰长,Gimme Chocolate!!
Blue Moon,SPiCYSOL,日文；流行,
STUDY,SPiCYSOL,日文；流行,
いいね!,BABYMETAL,日文；摇滚；舰长,
メギツネ,BABYMETAL,日文；摇滚；舰长,
太阳,程佳佳,中文；流行；舒缓,
煩悩遊戯,Reol,日文；流行；Rap；舰长,
君はロックを聴かない,あいみょん,日文；流行；舰长,不听摇滚的你 爱缪
ダリ,Reol,日文；流行；Rap；舰长,
HYPE MODE,Reol,日文；流行；Rap；舰长,
Defying Gravity ,Idina Menzel,英文；音乐剧；SC,音乐剧魔法坏女巫 SC点歌
Tiny Light,鬼头明里,日文；ACG；舒缓,地缚少年花子君
Clover wish,ChamJam,日文；ACG；地偶,神推偶像登上武道馆我就死而无憾
ごまかし,Trysail,日文；ACG,魔法纪录 魔法少女小圆外传 半首
ダイアモンド クレバス,May'n,日文；ACG；舰长,钻石裂痕 超时空要塞 马裤螺丝
Light for Knight,三森すずこ,日文；ACG；舰长,枪的假面舞会
Lemon,米津玄师,日文；流行；舒缓；舰长,
I am beautiful,辻詩音,日文；流行,
Swim ～oh!oh!oh!～,辻詩音,日文；流行,
大切な君へ,井上苑子,日文；流行,
ラタムニカ,藤原さくら,日文；流行,
グルグル,藤原さくら,日文；流行,
MILK,神山羊,日文；流行,
Minus Zero × Synesthesia,Hikaru Station,日文；流行；电音,
have a nice day,浅葱喵asagiinyo,日文；流行,
Sunday Silence,月島春果,日文；流行；电音,
SLEEPWALK,ヒトリエ,日文；流行,
にんじゃりばんばん,きゃりーぱみゅぱみゅ,日文；流行,忍者棒棒 彭薇薇
Someone In The Crowd,Someone In The Crowd,英文；音乐剧；舰长,爱乐之城 La La Land
Another Day Of Sun,La La Land,英文；音乐剧；舰长,爱乐之城 La La Land
I Can't Get Enough with Set Sail,SPiCYSOL,日文；流行,
愛 think so，,ef,日文；流行,
KUMAMIKO DANCING,日岡なつみ,日文；ACG,当女孩遇到熊
白日,King Gnu,日文；流行；舰长,
サターン,ずっと真夜中でいいのに。,日文；流行；舰长,土星 真夜中
ハッピーになりたい,ナナヲアカリ,日文；流行,想要变得快乐 nanawoakari
フロントメモリー,鈴木瑛美子,日文；ACG；流行；舰长,恋如雨止
みんなの太陽系,つじあやの,日文；流行,
玛德琳娜电塔,warma,中文；流行；舒缓；舰长,
歌に形はないけれど,花たん,日文；流行；舰长,虽说歌声没有形状
Traffic Jam,SPiCYSOL,日文；流行,
WDTA(Shut Up),SPiCYSOL,日文；流行,
Fresh Go,SPiCYSOL,日文；流行,
落下,日向文,日文；流行；舒缓,
ヒューマノイド,ずっと真夜中でいいのに。,日文；流行；舰长,Humanoid 真夜中
真夏のミッション,Goose house,日文；流行,
cry,日向文,日文；流行；舒缓,
YELLOW,神山羊,日文；流行；舰长,
玉葱+,初音未来,日文；术力口,匹诺曹P
なんでもないや,RADWIMPS,日文；流行；ACG；舒缓,你的名字
いかないで,鹿乃,日文；流行；舒缓,不要离开我
錆び,日向文,日文；流行；舒缓,
オドループ,フレデリック,日文；流行；舒缓,
ブラックアウト,日向文,日文；流行；舒缓,
君がいて水になる,ずっと真夜中でいいのに。,日文；流行,有你在即可化成水 真夜中
ヤバい○○,上坂すみれ,日文；流行； SC,SC点歌
オオカミ少年独白,Cana,日文；流行；舒缓,
unlasting,LiSA,日文；ACG；舰长；舒缓,刀剑神域
プラトニック?ラヴ,鹿乃,日文；术力口,柏拉图式爱情
ベノム,flower,日文；术力口,猛毒 怪力熊
ダイヤモンドプリンセスの憂鬱,BiBi,日文；ACG,钻石公主的忧郁 LoveLive
Silent tonight,BiBi,日文；ACG；舒缓,LoveLive
コイワズライ,Amier,日文；流行,相思病 别被白雪与狼君所欺骗
Los! Los! Los!,悠木碧,日文；ACG；舰长,幼女战记
マリーゴールド,あいみょん,日文；流行；舰长,金盏花 D4DJ
錯覚CROSSROADS,BiBi,日文；ACG；舒缓,LoveLive
新宝島,サカナクション,日文；流行； SC,SC点歌
新宝島 抒情版,Lefty Hand Cream,日文；流行； 舰长；舒缓,
オオカミと少女,鎖那,日文；流行,狼与少女
パパパ,斉藤朱夏,日文；ACG；舰长,喜欢本大爷的竟然只有你一个?
サマータイムラブ,Shiggy Jr.,日文；流行,夏日爱情
フラレガイガール,さユり,日文；流行,被甩男女
BEYOND,鎖那,日文；流行；舰长,
fairy stage,K2 SOUND,日文；ACG；舰长,东方
my sweetest one,Aimer,日文；流行,
ジュリアに傷心,チェッカーズ,日文,轮到你了插曲 Oh my Julia
あなたは煙草　私はシャボン,ラブリーサマーちゃん,日文；流行,你是烟草，我是泡沫
See You - またね,HoneyComeBear,日文；流行；电音,
青春のリバーブ,戸松遥，赤﨑千夏，豊崎愛生,日文；ACG；舒缓,女高中生的虚度日常
丸ノ内サディスティック,椎名林檎,日文；流行,丸之内受虐狂
歌舞伎町の女王,椎名林檎,日文；流行,歌舞伎町的女王
コトコト,ef,日文；流行；舒缓,
輪!Moon!dass!cry!,戸松遥，赤﨑千夏，豊崎愛生,日文；ACG；舰长,女高中生的虚度日常
めっかわ,大森靖子,日文；流行,超可爱
貴方解剖純愛歌~死ね~,あいみょん,日文；流行；舰长,爱缪
あたし天使の堪忍袋,大森靖子,日文；流行；SC,我天使的忍耐极限 SC点歌
歩いても歩いても、夜空は僕を追いかけてくる,鎖那,日文；流行,
ため息,チュール,日文；流行；舒缓,
あなたのお耳にプラグイン!,イヤホンズ,日文；ACG；舰长,那就是声优
光年之外,G.E.M.邓紫棋,中文；流行；舰长,
虹色 サンシャイン,煌めき☆アンフォレント,日文；流行；地偶,
好きな人がいること,知英,日文；流行,有喜欢的人
しゅわりん☆どり~みん,Pastel＊Palettes,日文；ACG；舰长,修车曲 邦邦
Not Afraid,Alisa,英文；ACG,卡罗尔与星期二
瞬き,春茶,日文；流行；舒缓,
For フルーツバスケット,岡崎律子,日文；ACG；舒缓,水果篮子
The Loneliest Girl,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Light A Fire,Alisa,英文；ACG；舰长,卡罗尔与星期二
All I Want,Alisa,英文；ACG,卡罗尔与星期二
Whispering My Love,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Someday I'll Find My Way Home,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Round ＆ Laundry,Nai Br.XX Celeina Ann,英文；ACG,卡罗尔与星期二
Move Mountains,Alisa,英文；ACG；舰长,卡罗尔与星期二
だから僕は音楽を辞めた,ヨルシカ ,日文；流行；舰长,夜鹿 所以我放弃了音乐
クレイジー?ビート,镜音铃/镜音连,日文；ACG；术力口；电音,康帕斯 Crazy Beat
阿吽のヒ?ーツ,flower,日文；术力口,阿吽的节奏
ヒーローになりたかった,斉藤朱夏,日文；流行,
あと1メートル,斉藤朱夏,日文；流行,
ことばの魔法,斉藤朱夏,日文；流行,
くつひも,斉藤朱夏,日文；流行,
画,G.E.M.邓紫棋,中文；流行；舒缓,
扉をあけて,ANZA,日文；ACG；舰长,敞开心扉 魔卡少女樱
Synchrogazer,水樹奈々,日文；ACG；SC,战姬绝唱 SC点歌
深愛,水樹奈々,日文；ACG；舰长,白色相簿
Ringing Bloom,Roselia,日文；ACG；舰长,邦邦
ジャンヌダルク,三森すずこ,日文；ACG；音乐剧；舰长,少女歌剧
